Longitude,Latitude,ID,Value,XCOORD,YCOORD
-95.593420109985487,40.761360657858852,80,55,-95.593420,40.761361
-94.16893996847493,42.740723199023492,81,51,-94.168940,42.740723
-91.069409934205922,41.133580404772303,82,50,-91.069410,41.133580
-94.359198149883184,42.03036823759065,83,52,-94.359198,42.030368
-95.183238830736357,40.987768260699987,84,54,-95.183239,40.987768
-95.523730543015873,41.52659796668587,85,54,-95.523731,41.526598
-92.528331254878438,41.403583649010216,86,51,-92.528331,41.403584
-96.412823588574739,42.367563427012271,87,54,-96.412824,42.367563
-93.029279040506594,40.715098173692994,88,52,-93.029279,40.715098
-94.949792631155177,41.455780967224179,89,53,-94.949793,41.455781
-94.640915792164563,43.032162788709371,90,52,-94.640916,43.032163
-94.318365111249889,40.69900621705164,91,54,-94.318365,40.699006
-91.479004156619439,42.327861149390522,92,49,-91.479004,42.327861
-93.531757786412342,43.352710492975405,93,50,-93.531758,43.352710
-93.729957909715509,43.227158841675951,94,51,-93.729958,43.227159
-94.069580633073002,41.945771506925752,95,52,-94.069581,41.945772
-95.615311352786932,43.151800798437009,96,52,-95.615311,43.151801
-93.647199272343443,41.061630148931648,97,53,-93.647199,41.061630
-95.053858647319188,43.213326262175066,98,52,-95.053859,43.213326
-91.845994423018837,40.681519107046299,99,51,-91.845994,40.681519
-92.017048075979673,42.182108358336741,100,50,-92.017048,42.182108
-92.139846618522711,41.728768261711942,101,50,-92.139847,41.728768
-92.84300192205508,41.41970961282064,102,51,-92.843002,41.419710
-90.746414669963841,42.078034611669054,103,49,-90.746415,42.078035
-92.784766032637975,40.64183454921222,104,52,-92.784766,40.641835
-92.542413290797342,43.165977338151073,105,49,-92.542413,43.165977
-94.631634220912062,41.715166729584425,106,53,-94.631634,41.715167
-93.290723318334315,40.619651457777024,107,53,-93.290723,40.619651
-93.858413868081499,41.313181557548219,108,53,-93.858414,41.313182
-92.711860228150314,42.092859865394999,109,51,-92.711860,42.092860
-93.115691534057831,43.052114881646034,110,50,-93.115692,43.052115
-91.295516882188963,42.049464961941659,111,49,-91.295517,42.049465
-93.912780630139437,41.602914945447637,112,52,-93.912781,41.602915
-95.10823072622658,41.767655721830565,113,53,-95.108231,41.767656
-92.677984108788564,40.63393674441506,114,52,-92.677984,40.633937
-92.923653284579899,43.23362414152357,115,50,-92.923653,43.233624
-94.733214802454569,42.963033103339654,116,52,-94.733215,42.963033
-94.399185435802337,42.303288900545986,117,52,-94.399185,42.303289
-93.643396698303192,42.950927043570502,118,51,-93.643397,42.950927
-92.734519549007956,42.325597117582767,119,50,-92.734520,42.325597
-95.520884125693399,40.991333225217396,120,55,-95.520884,40.991333
-92.448732338702001,41.825812671238154,121,51,-92.448732,41.825813
-92.346331258450931,40.818761951770874,122,52,-92.346331,40.818762
-94.660410998878163,41.513280464081461,123,53,-94.660411,41.513280
-94.060583474376955,41.942027345614946,124,52,-94.060583,41.942027
-94.438761607767603,42.473920035457198,125,52,-94.438762,42.473920
-91.592067222106166,43.054105416674915,126,49,-91.592067,43.054105
-94.981531668923722,42.171363902893155,127,53,-94.981532,42.171364
-92.936535015996057,42.794823552439588,128,50,-92.936535,42.794824
-90.660674261188134,41.50656369949121,129,49,-90.660674,41.506564
-95.823781016643764,41.955498124935971,130,54,-95.823781,41.955498
-94.143784197296966,41.929283623920121,131,52,-94.143784,41.929284
-90.503755528642344,42.024713745604309,132,48,-90.503756,42.024714
-90.875836846529666,41.992069457261216,133,49,-90.875837,41.992069
-94.663688264466856,41.709652148624578,134,53,-94.663688,41.709652
-92.710930705350222,42.90403628203746,135,50,-92.710931,42.904036
-95.103460632022689,42.97797551666622,136,52,-95.103461,42.977976
-92.267477943617763,42.629710910514795,137,50,-92.267478,42.629711
-91.478519160215555,40.529570818194173,138,51,-91.478519,40.529571
-93.761563116692756,42.753220769293819,139,51,-93.761563,42.753221
